entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
pathway,phagocytosis,pathway,primary,12,8,phagocytosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:20Z,2026-01-23T12:48:55Z
assay,precision,assay,primary,12,7,precision,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:29Z,2026-01-23T12:46:08Z
pathway,pyroptosis,pathway,primary,11,2,pyroptosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:39:00Z,2026-01-23T12:41:32Z
model,TUMOR,unknown,primary,11,10,TUMOR,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:49Z,2026-01-23T12:50:50Z
assay,ELISA,assay,primary,11,3,ELISA,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:40Z,2026-01-23T12:47:41Z
model,In situ,unknown,primary,11,6,In situ,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:32:01Z,2026-01-23T12:48:21Z
pathway,translation,pathway,primary,11,10,translation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:38:51Z,2026-01-23T12:50:19Z
pathway,migration,pathway,primary,11,7,migration,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:39Z,2026-01-23T12:47:17Z
assay,FLOW CYTOMETRY,assay,primary,11,4,flow cytometry,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:40Z,2026-01-23T12:49:44Z
target,CASPASE,protein,primary,10,5,CASPASE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:30:40Z,2026-01-23T12:48:27Z
indication,migraine,disease,primary,10,2,migraine,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:32:55Z,2026-01-23T12:36:46Z
pathway,AGGREGATION,pathway,primary,10,5,aggregation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:11Z,2026-01-23T12:49:32Z
pathway,proliferation,pathway,primary,10,7,proliferation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:24:16Z,2026-01-23T12:49:00Z
