entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
p62,target,protein,3,4.00,exploratory,3.67,stalled
lc3,target,protein,3,3.00,stalled,3.67,stalled
jnk,target,protein,2,2.00,stalled,2.00,stalled
erk,target,protein,4,6.48,promising,5.48,exploratory
derivatives,peptide,,1,1.00,deprioritized,1.00,deprioritized
prostate cancer,indication,disease,2,4.00,exploratory,3.50,stalled
identity,peptide,,1,2.00,stalled,2.00,stalled
transporter,target,protein,10,13.93,promising,13.62,promising
transgenic,model,unknown,29,69.45,strong,34.40,exploratory
white adipose tissue,model,unknown,3,8.61,strong,4.30,exploratory
brown adipose tissue,model,unknown,1,2.47,stalled,1.73,deprioritized
mesenchymal,stem_cell,,105,122.85,exploratory,122.60,exploratory
liquid chromatography,assay,assay,3,7.50,promising,2.17,stalled
tandem mass spectrometry,assay,assay,2,5.80,exploratory,1.20,deprioritized
type 1 diabetes,indication,disease,3,12.13,strong,10.80,strong
insr,target,protein,1,1.50,deprioritized,1.50,deprioritized
microscopy,assay,assay,49,115.37,strong,28.81,stalled
centrifugation,assay,assay,2,4.00,exploratory,1.50,deprioritized
acetylation,pathway,pathway,2,5.00,exploratory,2.00,stalled
cytoplasmic,model,unknown,11,29.24,strong,14.21,promising
lysosome,pathway,pathway,4,16.00,strong,8.00,strong
ubiquitin ligase,target,protein,1,1.50,deprioritized,0.00,deprioritized
ligase,target,protein,1,1.50,deprioritized,0.00,deprioritized
sqstm1,target,protein,2,3.00,stalled,3.00,stalled
methylation,pathway,pathway,24,63.48,strong,31.76,promising
mtorc1,pathway,pathway,17,42.25,strong,20.98,promising
nafld,indication,disease,4,8.60,strong,9.60,strong
neuronal,neural_cell,cell_type,98,109.73,exploratory,108.95,exploratory
clearance,assay,metric,17,41.43,strong,10.08,stalled
foxo1,target,protein,3,3.90,stalled,4.57,exploratory
hepatocytes,model,unknown,8,20.95,strong,9.85,promising
er stress,pathway,pathway,1,2.00,stalled,1.00,deprioritized
metabolic syndrome,indication,disease,3,7.97,promising,8.30,strong
caspase,target,protein,21,26.92,promising,26.49,promising
phenformin,compound,drug,1,1.00,deprioritized,2.00,stalled
lmna,target,protein,1,1.19,deprioritized,0.19,deprioritized
zebrafish,model,unknown,10,23.74,strong,10.82,exploratory
cell culture,model,unknown,34,81.25,strong,38.92,exploratory
mtorc2,pathway,pathway,7,18.86,strong,7.50,exploratory
tuberculosis,indication,disease,1,2.38,stalled,1.38,deprioritized
sirolimus,compound,drug,4,6.75,promising,12.00,strong
drosophila,model,unknown,10,23.60,strong,11.40,exploratory
epicenter,peptide,,1,1.00,deprioritized,1.00,deprioritized
notch,pathway,pathway,9,25.03,strong,11.96,promising
endothelial cells,model,unknown,10,24.11,strong,11.81,exploratory
quantification,assay,assay,21,45.77,strong,11.64,stalled
reductase,target,protein,1,1.50,deprioritized,0.00,deprioritized
pka,pathway,pathway,3,7.00,promising,3.00,stalled
immunofluorescence,assay,assay,54,124.46,strong,31.16,stalled
myc,target,protein,27,27.44,exploratory,26.96,exploratory
cytoplasm,model,unknown,10,25.33,strong,12.67,promising
dmem,model,unknown,16,36.79,strong,19.93,promising
yprafgal,peptide,,1,1.00,deprioritized,1.00,deprioritized
nfkb,target,protein,4,6.07,promising,4.32,exploratory
qpcr,assay,assay,10,23.69,strong,5.62,stalled
dashedlines,peptide,,1,1.00,deprioritized,1.00,deprioritized
ms/ms,assay,assay,2,6.00,promising,2.25,stalled
ubiquitination,pathway,pathway,1,2.00,stalled,1.00,deprioritized
p53,target,protein,8,9.77,promising,8.52,exploratory
p53,pathway,pathway,8,18.41,strong,8.52,exploratory
glycolysis,pathway,pathway,4,9.50,strong,4.50,exploratory
emt,pathway,pathway,3,6.00,promising,3.67,stalled
a549,model,cell_line,3,6.00,promising,3.00,stalled
leukemia,indication,disease,24,58.38,strong,58.75,strong
hepg2,model,cell_line,4,7.54,promising,4.15,exploratory
mcf-7,model,cell_line,4,9.23,strong,4.37,exploratory
hepatitis,indication,disease,2,2.98,stalled,4.48,exploratory
glioblastoma,indication,disease,1,2.67,stalled,2.67,stalled
leftpanels,peptide,,1,1.00,deprioritized,1.00,deprioritized
nlrp3,target,protein,12,15.25,promising,13.25,exploratory
photoreceptor,neural_cell,cell_type,3,4.40,exploratory,3.40,stalled
sod1,target,protein,3,4.28,exploratory,4.28,exploratory
lipid metabolism,pathway,pathway,4,9.50,strong,6.00,promising
synthetase,target,protein,4,5.62,exploratory,4.62,exploratory
igf1r,target,protein,1,1.30,deprioritized,1.30,deprioritized
akt1,target,protein,1,1.30,deprioritized,1.30,deprioritized
ras,pathway,pathway,5,14.93,strong,7.17,promising
pkc,pathway,pathway,3,8.20,strong,3.60,stalled
dna damage response,pathway,pathway,1,2.60,stalled,1.30,deprioritized
atf6,target,protein,1,1.00,deprioritized,1.00,deprioritized
ire1,target,protein,2,2.00,stalled,2.00,stalled
perk,target,protein,2,3.00,stalled,1.50,deprioritized
upr,pathway,pathway,3,7.00,promising,2.67,stalled
