path,pdf_name,source,pages,sentences,total_hits,hits_per_page,dominant_lens,lens_distribution
cache/rss_organized/construction_science/review/21fd9c59831f5d7bfddbe454d88fd6920fffe51350f44d069f2e9c6dbc23e2e4.pdf,21fd9c59831f5d7bfddbe454d88fd6920fffe51350f44d069f2e9c6dbc23e2e4.pdf,review_bucket,4,119,6,1.5,failure,climate=1; compliance=2; failure=2; materials=1
cache/rss_organized/construction_science/review/2452e7c91937555019b5c415e56fad61e08cb8cf901eaaa2e6b9c591eed73923.pdf,2452e7c91937555019b5c415e56fad61e08cb8cf901eaaa2e6b9c591eed73923.pdf,review_bucket,4,44,6,1.5,failure,climate=2; compliance=1; failure=2; insurance_risk=1
cache/rss_organized/construction_science/review/9ac37f2ed5faed82b1685ee50ae271efbf0d98b46788043d514abe94d2a0d047.pdf,9ac37f2ed5faed82b1685ee50ae271efbf0d98b46788043d514abe94d2a0d047.pdf,review_bucket,3,36,6,2.0,insurance_risk,climate=3; insurance_risk=3
cache/rss_organized/construction_science/review/176a58cd39ecb3ef62c656c79f625a65f88dcea0b0826f0bff9d5ef612ce96ce.pdf,176a58cd39ecb3ef62c656c79f625a65f88dcea0b0826f0bff9d5ef612ce96ce.pdf,review_bucket,8,98,5,0.625,compliance,compliance=4; failure=1
cache/rss_organized/construction_science/review/4495ac97ac2ed5565028e6154ffa2d89fffdd5fbd4109344799b1d139db450ed.pdf,4495ac97ac2ed5565028e6154ffa2d89fffdd5fbd4109344799b1d139db450ed.pdf,review_bucket,3,46,5,1.6666666666666667,insurance_risk,climate=2; failure=1; insurance_risk=2
cache/rss_organized/construction_science/review/1846177728616d7b3fe9007e123a84eca298fbd34590dcd8cb081b12d7aba24f.pdf,1846177728616d7b3fe9007e123a84eca298fbd34590dcd8cb081b12d7aba24f.pdf,review_bucket,3,35,4,1.3333333333333333,insurance_risk,compliance=1; failure=1; insurance_risk=2
cache/rss_organized/construction_science/review/4810182eb3e93c8ff4aeda9388343314d4bfd2a75dd9bb37afd6df0e96b63c00.pdf,4810182eb3e93c8ff4aeda9388343314d4bfd2a75dd9bb37afd6df0e96b63c00.pdf,review_bucket,2,104,2,1.0,insurance_risk,insurance_risk=2
cache/rss_organized/construction_science/review/4df57be95ccc5508aa1b040d4e5ddc95cee9330b0d2351c94d3bd7463b81b02c.pdf,4df57be95ccc5508aa1b040d4e5ddc95cee9330b0d2351c94d3bd7463b81b02c.pdf,review_bucket,37,221,2,0.05405405405405406,building_physics,building_physics=2
cache/rss_organized/construction_science/review/a9384d961d6294a2756ca5200023c223cc168127d5e10ee1edf3ac30c17d29e6.pdf,a9384d961d6294a2756ca5200023c223cc168127d5e10ee1edf3ac30c17d29e6.pdf,review_bucket,2,9,2,1.0,compliance,compliance=2
cache/rss_organized/construction_science/review/f4c2b779fba0e579bcc578e83b2f84e640fd283e57c1a4042a2ac32c971e902f.pdf,f4c2b779fba0e579bcc578e83b2f84e640fd283e57c1a4042a2ac32c971e902f.pdf,review_bucket,2,31,2,1.0,compliance,compliance=2
