entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,first_seen,last_seen
neural_cell,neural progenitor cell,cell_type,primary,1,1,neural progenitor cell,2026-01-24T16:33:27Z,2026-01-24T16:33:27Z
model,PC3,cell_line,primary,1,1,PC3,2026-01-23T13:57:43Z,2026-01-23T13:57:43Z
pathway,beta-catenin,pathway,primary,1,1,beta-catenin,2026-01-23T12:41:38Z,2026-01-23T12:41:38Z
peptide,YPRAFGAL,,primary,1,1,YPRAFGAL,2026-01-23T13:52:57Z,2026-01-23T13:52:57Z
neural_cell,GABAergic neuron,cell_type,primary,1,1,GABAergic neuron,2026-01-23T12:35:03Z,2026-01-23T12:35:03Z
model,ESC,unknown,primary,1,1,ESC,2026-01-23T13:54:32Z,2026-01-23T13:54:32Z
model,HEPG2,cell_line,primary,1,1,HEPG2,2026-01-23T13:54:59Z,2026-01-23T13:54:59Z
target,BCL2,protein,primary,1,1,BCL2,2026-01-23T12:44:32Z,2026-01-23T12:44:32Z
assay,qPCR,assay,primary,1,1,qPCR,2026-01-23T12:45:17Z,2026-01-23T12:45:17Z
pathway,MEK,pathway,primary,1,1,MEK,2026-01-23T12:42:28Z,2026-01-23T12:42:28Z
neural_cell,NSC,cell_type,primary,1,1,NSC,2026-01-24T16:33:29Z,2026-01-24T16:33:29Z
model,NSC,unknown,primary,1,1,NSC,2026-01-23T13:55:14Z,2026-01-23T13:55:14Z
neural_cell,hippocampal neuron,cell_type,primary,1,1,hippocampal neuron,2026-01-23T12:35:36Z,2026-01-23T12:35:36Z
peptide,PIPELINE,,primary,1,1,PIPELINE,2026-01-23T12:49:23Z,2026-01-23T12:49:23Z
target,MMP2,protein,primary,1,1,MMP2,2026-01-23T12:44:46Z,2026-01-23T12:44:46Z
assay,robustness,assay,primary,1,1,robustness,2026-01-23T12:46:32Z,2026-01-23T12:46:32Z
assay,filtration,assay,primary,1,1,filtration,2026-01-23T12:41:26Z,2026-01-23T12:41:26Z
model,Normal tissue,unknown,primary,1,1,Normal tissue,2026-01-23T12:42:01Z,2026-01-23T12:42:01Z
pathway,membrane fusion,pathway,primary,1,1,membrane fusion,2026-01-23T12:49:48Z,2026-01-23T12:49:48Z
pathway,oxidative phosphorylation,pathway,primary,1,1,oxidative phosphorylation,2026-01-23T12:38:59Z,2026-01-23T12:38:59Z
target,PEPTIDASE,protein,primary,1,1,PEPTIDASE,2026-01-23T12:36:43Z,2026-01-23T12:36:43Z
pathway,second messenger,pathway,primary,1,1,second messenger,2026-01-23T12:30:20Z,2026-01-23T12:30:20Z
peptide,SAFETYANDEFFICACY,,primary,1,1,SAFETYANDEFFICACY,2026-01-23T12:39:58Z,2026-01-23T12:39:58Z
model,SCID,unknown,primary,1,1,SCID,2026-01-23T12:44:13Z,2026-01-23T12:44:13Z
peptide,PIERCETM,,primary,1,1,PIERCETM,2026-01-23T12:43:54Z,2026-01-23T12:43:54Z
indication,obesity,disease,primary,1,1,obesity,2026-01-23T12:48:38Z,2026-01-23T12:48:38Z
target,CALPAIN,protein,primary,1,1,CALPAIN,2026-01-23T12:23:21Z,2026-01-23T12:23:21Z
target,THROMBIN,protein,primary,1,1,THROMBIN,2026-01-23T12:44:46Z,2026-01-23T12:44:46Z
target,GPCR,protein,primary,1,1,GPCR,2026-01-23T12:36:13Z,2026-01-23T12:36:13Z
model,SW480,cell_line,primary,1,1,SW480,2026-01-23T13:57:43Z,2026-01-23T13:57:43Z
pathway,p38,pathway,primary,1,1,p38,2026-01-23T12:23:20Z,2026-01-23T12:23:20Z
peptide,CYANAGEN,,primary,1,1,CYANAGEN,2026-01-23T12:43:55Z,2026-01-23T12:43:55Z
pathway,Raf,pathway,primary,1,1,Raf,2026-01-23T12:42:28Z,2026-01-23T12:42:28Z
neural_cell,pyramidal neuron,cell_type,primary,1,1,pyramidal neuron,2026-01-23T12:44:29Z,2026-01-23T12:44:29Z
pathway,methylation,pathway,primary,1,1,methylation,2026-01-24T16:32:24Z,2026-01-24T16:32:24Z
model,Xenografts,unknown,primary,1,1,Xenografts,2026-01-23T13:58:22Z,2026-01-23T13:58:22Z
pathway,DNA damage response,pathway,primary,1,1,DNA damage response,2026-01-24T16:33:25Z,2026-01-24T16:33:25Z
peptide,EPICENTER,,primary,1,1,EPICENTER,2026-01-23T13:53:05Z,2026-01-23T13:53:05Z
pathway,vesicle transport,pathway,primary,1,1,vesicle transport,2026-01-23T12:51:35Z,2026-01-23T12:51:35Z
indication,heart failure,disease,primary,1,1,heart failure,2026-01-23T12:46:37Z,2026-01-23T12:46:37Z
peptide,WHITETRIANGLES,,primary,1,1,WHITETRIANGLES,2026-01-23T12:30:53Z,2026-01-23T12:30:53Z
pathway,glycolysis,pathway,primary,1,1,glycolysis,2026-01-23T12:38:59Z,2026-01-23T12:38:59Z
peptide,INTHEMIDDLE,,primary,1,1,INTHEMIDDLE,2026-01-23T12:44:30Z,2026-01-23T12:44:30Z
pathway,protein degradation,pathway,primary,1,1,protein degradation,2026-01-23T12:49:49Z,2026-01-23T12:49:49Z
assay,scratch assay,assay,primary,1,1,scratch assay,2026-01-23T12:48:27Z,2026-01-23T12:48:27Z
assay,migration assay,assay,primary,1,1,migration assay,2026-01-23T12:34:56Z,2026-01-23T12:34:56Z
pathway,CDK,pathway,primary,1,1,CDK,2026-01-23T12:37:37Z,2026-01-23T12:37:37Z
peptide,LEFTPANELS,,primary,1,1,LEFTPANELS,2026-01-23T13:54:47Z,2026-01-23T13:54:47Z
peptide,QIMAGING,,primary,1,1,QIMAGING,2026-01-23T12:43:54Z,2026-01-23T12:43:54Z
peptide,THEVENTRALPATHWAY,,primary,1,1,THEVENTRALPATHWAY,2026-01-23T12:45:09Z,2026-01-23T12:45:09Z
peptide,AIRYSCAN,,primary,1,1,AIRYSCAN,2026-01-23T13:56:02Z,2026-01-23T13:56:02Z
target,ACE,protein,primary,1,1,ACE,2026-01-23T12:50:56Z,2026-01-23T12:50:56Z
peptide,GEHEALTHCARE,,primary,1,1,GEHEALTHCARE,2026-01-23T12:51:08Z,2026-01-23T12:51:08Z
compound,LIRAGLUTIDE,drug,primary,1,1,LIRAGLUTIDE,2026-01-23T12:32:19Z,2026-01-23T12:32:19Z
compound,DEXAMETHASONE,drug,primary,1,1,DEXAMETHASONE,2026-01-23T12:36:10Z,2026-01-23T12:36:10Z
assay,concentration-response,metric,primary,1,1,concentration-response,2026-01-23T12:42:54Z,2026-01-23T12:42:54Z
peptide,DDAYTIMESLEEP,,primary,1,1,DDAYTIMESLEEP,2026-01-23T12:49:56Z,2026-01-23T12:49:56Z
assay,MTT assay,assay,primary,1,1,MTT assay,2026-01-23T12:47:37Z,2026-01-23T12:47:37Z
peptide,APPLICHEM,,primary,1,1,APPLICHEM,2026-01-23T12:47:38Z,2026-01-23T12:47:38Z
pathway,ER stress,pathway,primary,1,1,ER stress,2026-01-24T16:32:27Z,2026-01-24T16:32:27Z
target,ADAM17,protein,primary,1,1,ADAM17,2026-01-23T12:49:00Z,2026-01-23T12:49:00Z
pathway,unfolded protein response,pathway,primary,1,1,unfolded protein response,2026-01-24T16:33:30Z,2026-01-24T16:33:30Z
pathway,oxidation,pathway,primary,1,1,oxidation,2026-01-23T12:44:06Z,2026-01-23T12:44:06Z
peptide,RELATIVERISK,,primary,1,1,RELATIVERISK,2026-01-23T12:36:09Z,2026-01-23T12:36:09Z
pathway,ACETYLATION,pathway,primary,1,1,acetylation,2026-01-24T16:32:20Z,2026-01-24T16:32:20Z
target,NRF-2,protein,primary,1,1,NRF-2,2026-01-23T12:36:09Z,2026-01-23T12:36:09Z
