event_id,domain,event_type,entity_type,entity_name,entity_variant
267ceabb7b57d14b,methods_tooling,method_evaluation,model,TUMOR,unknown
289d057bc93c42ca,methods_tooling,decision_point,model,RATS,organism
28e54ef2f7fc056c,methods_tooling,method_evaluation,model,Plasma,biofluid
29d7a42fc2aaddf4,methods_tooling,decision_point,target,ACE,protein
29d908f08768cd57,methods_tooling,method_evaluation,model,BSA,unknown
2abb8ad0f1bf15cc,methods_tooling,method_evaluation,model,BLOOD,biofluid
2abb8ad0f1bf15cc,methods_tooling,method_evaluation,model,SERUM,biofluid
2b00b137225dbddb,methods_tooling,efficacy_result,compound,METFORMIN,drug
2b00b137225dbddb,methods_tooling,efficacy_result,model,In vivo,unknown
2b00b137225dbddb,methods_tooling,efficacy_result,model,Mitochondrial,unknown
2b00b137225dbddb,methods_tooling,efficacy_result,model,TUMOR,unknown
2b8ecd11a0c84795,methods_tooling,manufacturing_constraint,compound,RESVERATROL,drug
2b8ecd11a0c84795,methods_tooling,manufacturing_constraint,target,JNK,protein
2c578824029ab13e,methods_tooling,method_evaluation,model,HUMAN,organism
2cba2b487f578320,methods_tooling,toxicity_flag,compound,APIGENIN,drug
2cba2b487f578320,methods_tooling,toxicity_flag,compound,QUERCETIN,drug
2cba2b487f578320,methods_tooling,toxicity_flag,compound,RESVERATROL,drug
2ccf528f21ba8cba,methods_tooling,toxicity_flag,model,FBS,unknown
2ccf528f21ba8cba,methods_tooling,toxicity_flag,model,HUMAN,organism
2d505053e2cec399,methods_tooling,toxicity_flag,compound,QUERCETIN,drug
2e6384726b7f721c,methods_tooling,method_evaluation,model,SERUM,biofluid
2e6384726b7f721c,methods_tooling,method_evaluation,target,TNF,protein
2eacd7641c4e1a2a,methods_tooling,efficacy_result,model,Tissue,unknown
2eacd7641c4e1a2a,methods_tooling,efficacy_result,target,SYNTHASE,protein
2f24552c8b64c9be,methods_tooling,decision_point,model,DOGS,unknown
2f374a53786f457f,methods_tooling,efficacy_result,stem_cell,IPSC,
2f374a53786f457f,methods_tooling,efficacy_result,stem_cell,pluripotent,
2f374a53786f457f,methods_tooling,efficacy_result,stem_cell,reprogramming,
2f4970f3d9cf7a3f,methods_tooling,method_evaluation,model,Plasma,biofluid
2f4970f3d9cf7a3f,methods_tooling,method_evaluation,peptide,SAMPLEHEATING,
2f6970e2607c0bec,methods_tooling,decision_point,model,In vitro,unknown
2f6970e2607c0bec,methods_tooling,decision_point,model,In vivo,unknown
2f9be37d7e2bbb7a,methods_tooling,method_evaluation,model,BSA,unknown
2f9be37d7e2bbb7a,methods_tooling,method_evaluation,model,Bovine serum albumin,unknown
2f9be37d7e2bbb7a,methods_tooling,method_evaluation,model,SERUM,biofluid
2fad7ca97f97972d,methods_tooling,method_evaluation,model,Plasma,biofluid
3037865df373f150,methods_tooling,manufacturing_constraint,model,DOGS,unknown
308657d3da338965,methods_tooling,decision_point,model,Humans,organism
309aa20aee947541,methods_tooling,method_evaluation,model,Plasma,biofluid
30b4274b131da408,methods_tooling,manufacturing_constraint,compound,CURCUMIN,drug
310f75682fc6f1d7,methods_tooling,method_evaluation,model,SERUM,biofluid
3118c084a07446c0,methods_tooling,efficacy_result,stem_cell,MSC,
3118c084a07446c0,methods_tooling,efficacy_result,stem_cell,stem cell,
31a23a75e78e5a69,methods_tooling,decision_point,model,DOGS,unknown
31a494fb6ec9bd6e,methods_tooling,decision_point,model,Skeletal muscle,unknown
31a494fb6ec9bd6e,methods_tooling,decision_point,model,Tissue,unknown
322a80503d9454f6,methods_tooling,decision_point,model,DOGS,unknown
32a9edc998ff5551,methods_tooling,method_evaluation,model,SERUM,biofluid
32f33fa6f1093484,methods_tooling,decision_point,target,RECEPTOR,protein
333d7a8a2c6c6384,methods_tooling,efficacy_result,model,SERUM,biofluid
33b87688e0a00cb4,methods_tooling,decision_point,model,DOG,organism
33b87688e0a00cb4,methods_tooling,decision_point,model,DOGS,unknown
33b87688e0a00cb4,methods_tooling,decision_point,model,HUMAN,organism
33d1b9be0fc72835,methods_tooling,method_evaluation,model,MICE,organism
33d1b9be0fc72835,methods_tooling,method_evaluation,model,SERUM,biofluid
33d1b9be0fc72835,methods_tooling,method_evaluation,target,IL-6,protein
33d1b9be0fc72835,methods_tooling,method_evaluation,target,TNF,protein
33d1b9be0fc72835,methods_tooling,method_evaluation,target,TNF-Α,protein
