entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
target,TNF-Α,protein,primary,1,1,TNF-Α,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:07:45Z,2026-02-02T16:07:45Z
peptide,SAMPLEHEATING,,primary,1,1,SAMPLEHEATING,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:07:12Z,2026-02-02T16:07:12Z
compound,NMN,drug,primary,1,1,NMN,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:03:45Z
target,P21,protein,primary,1,1,P21,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:48Z,2026-02-02T16:03:48Z
target,GPX1,protein,primary,1,1,GPX1,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
target,HSP90,protein,primary,1,1,HSP90,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:07:21Z,2026-02-02T16:07:21Z
stem_cell,reprogramming,,primary,1,1,reprogramming,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:16Z,2026-02-02T16:06:16Z
stem_cell,iPSC,,primary,1,1,IPSC,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:16Z,2026-02-02T16:06:16Z
stem_cell,pluripotent,,primary,1,1,pluripotent,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:16Z,2026-02-02T16:06:16Z
target,PEPTIDASE,protein,primary,1,1,PEPTIDASE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:55Z,2026-02-02T16:06:55Z
target,UBIQUITIN,protein,primary,1,1,UBIQUITIN,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:55Z,2026-02-02T16:06:55Z
target,INSR,protein,primary,1,1,INSR,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:08:32Z,2026-02-02T16:08:32Z
target,SOD2,protein,primary,1,1,SOD2,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
target,P62,protein,primary,1,1,P62,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:08:07Z,2026-02-02T16:08:07Z
target,PDK1,protein,primary,1,1,PDK1,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:12Z,2026-02-02T16:06:12Z
compound,FISETIN,drug,primary,1,1,FISETIN,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:47Z,2026-02-02T16:03:47Z
peptide,INDICATED,,primary,1,1,INDICATED,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:04:59Z,2026-02-02T16:04:59Z
target,RENIN,protein,primary,1,1,RENIN,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:08:00Z,2026-02-02T16:08:00Z
compound,LIRAGLUTIDE,drug,primary,1,1,LIRAGLUTIDE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
compound,DEXAMETHASONE,drug,primary,1,1,DEXAMETHASONE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:57Z,2026-02-02T16:03:57Z
peptide,HYPERTENSIVE,,primary,1,1,HYPERTENSIVE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:07:30Z,2026-02-02T16:07:30Z
target,CAT,protein,primary,1,1,CAT,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:04:36Z,2026-02-02T16:04:36Z
target,NRF2,protein,primary,1,1,NRF2,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
compound,EXENATIDE,drug,primary,1,1,EXENATIDE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
target,BDNF,protein,primary,1,1,BDNF,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
