entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
erk,target,protein,1,1.50,deprioritized,0.00,deprioritized
derivatives,peptide,,1,1.00,deprioritized,1.00,deprioritized
prostate cancer,indication,disease,1,2.00,stalled,2.00,stalled
ace,target,protein,2,4.00,exploratory,4.00,exploratory
identity,peptide,,1,2.00,stalled,2.00,stalled
transporter,target,protein,2,2.52,stalled,3.52,stalled
transgenic,model,unknown,2,4.96,exploratory,2.48,stalled
white adipose tissue,model,unknown,2,5.70,exploratory,3.35,stalled
kinase,target,protein,1,1.23,deprioritized,1.73,deprioritized
brown adipose tissue,model,unknown,1,2.47,stalled,1.73,deprioritized
mesenchymal,stem_cell,,1,1.00,deprioritized,1.00,deprioritized
transcription,pathway,pathway,1,2.00,stalled,1.00,deprioritized
type 1 diabetes,indication,disease,1,3.20,stalled,3.20,stalled
