entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
assay,selectivity,metric,primary,5,4,selectivity,,All Domains,,2026-01-23T12:31:25Z,2026-01-23T12:48:19Z
neural_cell,oligodendrocytes,cell_type,primary,5,4,oligodendrocyte; oligodendrocytes,,All Domains,,2026-01-23T12:22:48Z,2026-01-23T12:41:34Z
compound,METFORMIN,drug,primary,4,2,METFORMIN,,All Domains,,2026-01-23T13:52:48Z,2026-01-23T13:55:14Z
pathway,ferroptosis,pathway,primary,4,2,ferroptosis,,All Domains,,2026-01-23T12:34:14Z,2026-01-23T12:45:09Z
target,ERK,protein,primary,4,3,ERK,,All Domains,,2026-01-23T12:36:13Z,2026-01-24T16:33:25Z
pathway,PI3K/AKT,pathway,primary,4,2,PI3K/AKT,,All Domains,,2026-01-23T12:41:24Z,2026-01-23T12:45:07Z
pathway,PKA,pathway,primary,4,3,PKA,,All Domains,,2026-01-23T12:42:28Z,2026-01-24T16:34:42Z
target,AKT1,protein,primary,4,2,AKT1,,All Domains,,2026-01-23T12:27:37Z,2026-01-24T16:33:25Z
stem_cell,organoid,,primary,4,4,organoid,,All Domains,,2026-01-23T12:36:12Z,2026-01-23T12:44:06Z
pathway,β-catenin,pathway,primary,4,1,β-catenin,,All Domains,,2026-01-23T12:43:03Z,2026-01-23T12:43:15Z
pathway,Ras,pathway,primary,4,3,Ras,,All Domains,,2026-01-23T12:42:28Z,2026-01-24T16:33:25Z
model,Culture media,unknown,primary,4,1,Culture media,,All Domains,,2026-01-23T12:48:24Z,2026-01-23T12:48:26Z
compound,SIROLIMUS,drug,primary,4,2,SIROLIMUS,,All Domains,,2026-01-23T13:52:22Z,2026-01-23T13:56:11Z
target,PERK,protein,primary,4,1,PERK,,All Domains,,2026-01-23T13:55:10Z,2026-01-24T16:33:29Z
target,IRE1,protein,primary,4,1,IRE1,,All Domains,,2026-01-23T13:55:10Z,2026-01-24T16:33:34Z
target,P53,protein,primary,4,2,P53,,All Domains,,2026-01-23T13:54:55Z,2026-01-23T13:57:37Z
model,Fibroblasts,unknown,primary,4,2,Fibroblasts,,All Domains,,2026-01-23T12:23:01Z,2026-01-23T13:58:11Z
indication,malaria,disease,primary,4,2,malaria,,All Domains,,2026-01-23T12:34:46Z,2026-01-23T12:42:58Z
pathway,STAT3,pathway,primary,4,2,STAT3,,All Domains,,2026-01-23T12:34:48Z,2026-01-23T12:42:01Z
indication,chronic inflammation,disease,primary,3,3,chronic inflammation,,All Domains,,2026-01-23T12:32:25Z,2026-01-23T12:49:00Z
neural_cell,motor neuron,cell_type,primary,3,1,motor neuron,,All Domains,,2026-01-23T12:23:11Z,2026-01-23T12:23:15Z
assay,accuracy,assay,primary,3,3,accuracy,,All Domains,,2026-01-23T12:30:24Z,2026-01-23T12:48:23Z
assay,half-life,metric,primary,3,3,half-life,,All Domains,,2026-01-23T12:40:26Z,2026-01-23T12:47:43Z
neural_cell,neural progenitor,cell_type,primary,3,3,neural progenitor,,All Domains,,2026-01-23T12:23:00Z,2026-01-24T16:33:27Z
indication,DIABETES,disease,primary,3,2,diabetes,,All Domains,,2026-01-23T12:34:17Z,2026-01-23T12:48:38Z
target,SOD1,protein,primary,3,2,SOD1,,All Domains,,2026-01-23T12:23:00Z,2026-01-23T13:55:36Z
pathway,protein synthesis,pathway,primary,3,3,protein synthesis,,All Domains,,2026-01-23T12:36:27Z,2026-01-23T12:50:38Z
pathway,UPR,pathway,primary,3,1,UPR,,All Domains,,2026-01-24T16:33:26Z,2026-01-24T16:33:30Z
pathway,cGMP,pathway,primary,3,3,cGMP,,All Domains,,2026-01-23T12:23:20Z,2026-01-23T12:39:43Z
neural_cell,interneuron,cell_type,primary,3,2,interneuron,,All Domains,,2026-01-23T12:47:49Z,2026-01-24T16:34:34Z
target,MYC,protein,primary,3,3,MYC,,All Domains,,2026-01-23T12:43:54Z,2026-01-23T13:54:54Z
target,TRANSFERASE,protein,primary,3,2,TRANSFERASE,,All Domains,,2026-01-23T12:41:30Z,2026-01-23T13:57:25Z
pathway,proteasome,pathway,primary,3,3,proteasome,,All Domains,,2026-01-23T12:36:44Z,2026-01-24T16:34:45Z
